file,height,water_pct,veg_pct
DJI_0032-h35.JPG,35,68.84030222440238,20.604396705396532
DJI_0033-h35.JPG,35,62.3979804282728,29.93863396269365
DJI_0034-h35.JPG,35,68.06960234559352,18.91434844535498
DJI_0009-h40.JPG,40,83.73954305651739,11.214393090502206
DJI_0029-h40.JPG,40,42.49008208455166,47.8164004389171
DJI_0012-h50.JPG,50,63.887972140466296,25.847516383246127
DJI_0019-h50.JPG,50,46.06457936576639,29.307410092528468
DJI_0020-h50.JPG,50,34.67294824689648,32.75793092586181
DJI_0026-h50.JPG,50,22.2761901498538,59.26123302362265
DJI_0030-h50.JPG,50,46.18099138677285,43.12764304080743
DJI_0027-h55.JPG,55,61.554626984585006,32.14658496684877
DJI_0013-h60.JPG,60,43.204274191738484,23.63030271333487
DJI_0025-h60.JPG,60,22.8547786338104,59.0069981468657
