file,height,water_pct,field_pct
DJI_0012-h50.JPG,50,61.65143661992152,43.31912824138197
DJI_0019-h50.JPG,50,37.552450032702374,71.74384987047297
DJI_0020-h50.JPG,50,27.7545635035139,79.34093903893505
DJI_0026-h50.JPG,50,14.282870290217502,91.93384623153278
DJI_0030-h50.JPG,50,42.76153479916898,61.858461457692115
DJI_0027-h55.JPG,55,59.974889108507746,42.90365084288755
DJI_0013-h60.JPG,60,34.9112827985534,75.07259345022828
DJI_0025-h60.JPG,60,16.54737415198266,88.26940240426542
DJI_0022-h65.JPG,65,75.84382434178465,26.41991806773879
DJI_0014-h80.JPG,80,43.494247228313846,63.985137454152564
